Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
E1  Stafford Street,6278,51.5086899,-0.141399994,Westminster City Council,W1X 3PG,"E1, Stafford Street/E1 Westminster City Council",1,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Ilbert Street,6279,51.5294495,-0.214530006,Westminster City Council,W10 4QD,Ilbert Street/C1 Westminster City Council,3,"Coach, Minibus",24 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,2
G1  Agar Street,6280,51.5099182,-0.124580003,Westminster City Council,WC2N 4HU,"G1, Agar Street/G1 Westminster City Council",6,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Cleveland Row,6281,51.504921,-0.138280004,Westminster City Council,SW1A 1DL,"E1, Cleveland Row/E1 Westminster City Council",1,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Berkeley Square,6282,51.5101509,-0.147310004,Westminster City Council,W1J 5BF,Berkeley Square/E1 Westminster City Council,1,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Fitzmaurice Place,6283,51.5085297,-0.145150006,Westminster City Council,W1J 6DF,Fitzmaurice Place/E1 Westminster City Council,5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Sutherland Avenue,6284,51.5280495,-0.181810006,Westminster City Council,,Sutherland Avenue/C1 Westminster City Council,8,Car,07 June 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Great Newport street,6285,51.5118713,-0.12771,Westminster City Council,WC2H 7JA,Great Newport street/G1 Westminster City Council,2,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Greek Street,6286,51.5142212,-0.130989999,Westminster City Council,W1D 5DJ,Greek Street/G1 Westminster City Council,5,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
A1  Upper Tachbrook Street,6287,51.4931908,-0.139449999,Westminster City Council,SW1V 1SH,"A1, Upper Tachbrook Street/A1 Westminster City Council",7,Car,05 March 2023,Monday to Friday 8:30am - 6:30pm,£0.70 (0.07),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Paddington Green,6288,51.5205994,-0.174700007,Westminster City Council,W2 1SE,Paddington Green/B4 Westminster City Council,10,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.57 (0.05),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Woodfield Road,6289,51.5228882,-0.199980006,Westminster City Council,W9 2BA,"C2, Woodfield Road/C2 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Providence Court,6290,51.512661,-0.152480006,Westminster City Council,W1K 6PR,"E1, Providence Court/E1 Westminster City Council",1,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F3  Wigmore Street,6291,51.5164604,-0.148479998,Westminster City Council,W1U 2BP,"F3, Wigmore Street/F3 Westminster City Council",6,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Paddington Recreation Car Park,6292,51.5317688,-0.190520003,Westminster City Council,NW6 5EP,Paddington Recreation Car Park/C Westminster City Council,33,Car,19 February 2023,Monday to Friday 7:00am - 9:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,Off street,1
Bow Street,6293,51.5129509,-0.121529996,Westminster City Council,WC2E 7AU,Bow Street/G1 Westminster City Council,3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Wigmore Street (Outside number 8 or 12-18),6294,51.5167503,-0.147,Westminster City Council,W1G 9QD / W1U 2RG,Wigmore Street (Outside number 8 or 12-18)/F2 Westminster City Council,8,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Wigmore Street (outside 3-9),6295,51.5167313,-0.146449998,Westminster City Council,W1U 1PB,Wigmore Street (outside 3-9)/F2 Westminster City Council,3,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Cavendish Square (Opposite number 11),6296,51.5169716,-0.144950002,Westminster City Council,W1G 0AN,Cavendish Square (Opposite number 11)/F2 Westminster City Council,4,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Allitsen Road,6297,51.5333786,-0.170340002,Westminster City Council,NW8 7AU,"C1, Allitsen Road/C1 Westminster City Council",2,Car,23 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,2 Hours,Up to Maximum stay,No,On street,1
Upper Brook Street,6298,51.5117302,-0.153510004,Westminster City Council,W1K 7QR,Upper Brook Street/E1 Westminster City Council,6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Upper Brook Street,6299,51.5116806,-0.153640002,Westminster City Council,W1K 7QR,Upper Brook Street/E1 Westminster City Council,1,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
Upper Grosvenor Street,6310,51.5112686,-0.155440003,Westminster City Council,W1K 7EH,Upper Grosvenor Street/E1 Westminster City Council,11,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
F3  Newman Street,6311,51.5166016,-0.13504,Westminster City Council,W1T 1PB,"F3, Newman Street/F3 Westminster City Council",9,Car,18 February 2023,Monday to Saturday 8:30am - 6:30pm,£0.96 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  St John's Wood High Street,6313,51.5318108,-0.168720007,Westminster City Council,NW8 7SH,"C1, St John's Wood High Street/C1 Westminster City Council",8,Car,07 June 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  St John's Wood High Street,6314,51.5320206,-0.169009998,Westminster City Council,NW8 7SH,"C2, St John's Wood High Street/C2 Westminster City Council",2,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Kilburn Park Road,6344,51.5281715,-0.196129993,Westminster City Council,NW6 5LT,"C1, Kilburn Park Road/C1 Westminster City Council",2,Car,07 June 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Kilburn Park Road,6345,51.5316696,-0.193240002,Westminster City Council,NW6 5LA,"C1, Kilburn Park Road/C1 Westminster City Council",1,Car,07 June 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Alfred Road,6346,51.5213089,-0.193639994,Westminster City Council,W2 5HB,"CB1, Alfred Road/CB1 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Bourne Terrace,6347,51.5208282,-0.190549999,Westminster City Council,W2 5TP,"CB1, Bourne Terrace/CB1 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Bourne Terrace,6348,51.5200996,-0.18581,Westminster City Council,W2 6NH,"CB1, Bourne Terrace/CB1 Westminster City Council",5,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Cirencester Street,6349,51.5215492,-0.191510007,Westminster City Council,W2 5SR,"CB1, Cirencester Street/CB1 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Torquay Street,6350,51.5203514,-0.191670001,Westminster City Council,W2 5EJ,"CB1, Torquay Street/CB1 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Bourne Terrace,6351,51.5208092,-0.190819994,Westminster City Council,W2 5TH,"CB1, Bourne Terrace/CB1 Westminster City Council",5,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Delamere Terrace,6352,51.5211792,-0.184410006,Westminster City Council,W2 6ND,"CB1, Delamere Terrace/CB1 Westminster City Council",5,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Lord Hills Road,6353,51.5218086,-0.188360006,Westminster City Council,W2 6PD,"CB1, Lord Hills Road/CB1 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Blomfield Road,6354,51.5217781,-0.182569996,Westminster City Council,W9 2PB,"CB1, Blomfield Road/CB1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Blomfield Road,6355,51.521759,-0.182459995,Westminster City Council,W9 2PB,"CB1, Blomfield Road/CB1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Chichester Road,6356,51.5216217,-0.186159998,Westminster City Council,W2 6NN,"CB1, Chichester Road/CB1 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Clifton Villas,6357,51.5228119,-0.184750006,Westminster City Council,W9 2PH,"CB1, Clifton Villas/CB1 Westminster City Council",11,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Blomfield Villas,6358,51.5201683,-0.18558,Westminster City Council,W2 6NH,"CB1, Blomfield Villas/CB1 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Westbourne Terrace Road,6359,51.5209618,-0.184139997,Westminster City Council,W2 6ND,"CB1, Westbourne Terrace Road/CB1 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
CB1  Clifton Villas,6360,51.5224419,-0.185210004,Westminster City Council,W9 2PH,"CB1, Clifton Villas/CB1 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Albemarle Street,6361,51.5098915,-0.142859995,Westminster City Council,W1S 4HX,"E1, Albemarle Street/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Albemarle Street,6362,51.5093002,-0.142250001,Westminster City Council,W1S 4BP,"E1, Albemarle Street/E1 Westminster City Council",5,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Albemarle Street,6363,51.5088806,-0.141709998,Westminster City Council,W1S 4SG,"E1, Albemarle Street/E1 Westminster City Council",7,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Arlington Street,6364,51.5070801,-0.140870005,Westminster City Council,SW1A 1RE,"E1, Arlington Street/E1 Westminster City Council",5,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Berkeley Square,6365,51.5107002,-0.146359995,Westminster City Council,W1J 6HN,"E1, Berkeley Square/E1 Westminster City Council",14,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Berkeley Square,6366,51.5100899,-0.146669999,Westminster City Council,W1J 5AL,"E1, Berkeley Square/E1 Westminster City Council",15,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Berkeley Square,6367,51.5090904,-0.14576,Westminster City Council,W1J 5AZ,"E1, Berkeley Square/E1 Westminster City Council",11,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Berkeley Square,6368,51.5095215,-0.145030007,Westminster City Council,W1J 6AA,"E1, Berkeley Square/E1 Westminster City Council",18,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Brook Street,6370,51.5124588,-0.14937,Westminster City Council,W1K 4ER,"E1, Brook Street/E1 Westminster City Council",9,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Brook's Mews,6371,51.5123711,-0.147129998,Westminster City Council,W1K 4DU,"E1, Brook's Mews/E1 Westminster City Council",5,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Brown Hart Gardens,6372,51.5131683,-0.151969999,Westminster City Council,W1K 6TN,"E1, Brown Hart Gardens/E1 Westminster City Council",2,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Bruton Street,6373,51.5104599,-0.144789994,Westminster City Council,W1J 6QB,"E1, Bruton Street/E1 Westminster City Council",9,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Carlton Gardens,6374,51.5057182,-0.13391,Westminster City Council,SW1Y 5AD,"E1, Carlton Gardens/E1 Westminster City Council",10,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Carlton House Terrace,6375,51.5065994,-0.131510004,Westminster City Council,SW1Y 5AJ,"E1, Carlton House Terrace/E1 Westminster City Council",18,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Carlton House Terrace,6376,51.5062294,-0.132530004,Westminster City Council,SW1Y 5AG,"E1, Carlton House Terrace/E1 Westminster City Council",32,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Charles II Street,6377,51.5082703,-0.132239997,Westminster City Council,SW1Y 4QL,"E1, Charles II Street/E1 Westminster City Council",4,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Cork Street,6378,51.5102081,-0.141509995,Westminster City Council,W1S 3LL,"E1, Cork Street/E1 Westminster City Council",7,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Green Street,6379,51.5127907,-0.154400006,Westminster City Council,W1K 6RQ,"E1, Green Street/E1 Westminster City Council",9,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Square,6380,51.5110817,-0.150690004,Westminster City Council,W1K 2HR,"E1, Grosvenor Square/E1 Westminster City Council",8,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Square,6381,51.5121002,-0.151449993,Westminster City Council,W1K 6LD,"E1, Grosvenor Square/E1 Westminster City Council",14,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Square,6382,51.5122299,-0.151339993,Westminster City Council,W1K 6JP,"E1, Grosvenor Square/E1 Westminster City Council",7,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Square,6383,51.5117607,-0.150240004,Westminster City Council,W1K 4AE,"E1, Grosvenor Square/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Street,6384,51.5113182,-0.149220005,Westminster City Council,W1K 4AE,"E1, Grosvenor Street/E1 Westminster City Council",10,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Street,6385,51.5116997,-0.147190005,Westminster City Council,W1K 4EA,"E1, Grosvenor Street/E1 Westminster City Council",11,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Street,6386,51.512001,-0.145899996,Westminster City Council,W1K 4PS,"E1, Grosvenor Street/E1 Westminster City Council",17,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Grosvenor Street,6387,51.5118408,-0.146430001,Westminster City Council,W1K 3JN,"E1, Grosvenor Street/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Hanover Square,6388,51.5144005,-0.143820003,Westminster City Council,W1S 1HL,"E1, Hanover Square/E1 Westminster City Council",8,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Hanover Square,6389,51.5133514,-0.143930003,Westminster City Council,W1S 1JF,"E1, Hanover Square/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Hanover Street,6391,51.5139313,-0.141969994,Westminster City Council,W1S 1YZ,"E1, Hanover Street/E1 Westminster City Council",7,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Mount Street,6392,51.5094185,-0.15264,Westminster City Council,1K 2SB,"E1, Mount Street/E1 Westminster City Council",16,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Mount Street,6393,51.5099792,-0.149719998,Westminster City Council,W1K 2TR,"E1, Mount Street/E1 Westminster City Council",15,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Mount Street,6394,51.5096207,-0.151370004,Westminster City Council,W1K 2SU,"E1, Mount Street/E1 Westminster City Council",18,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  New Bond Street,6395,51.5098381,-0.141800001,Westminster City Council,W1S 4RG,"E1, New Bond Street/E1 Westminster City Council",12,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Old Burlington Street,6397,51.5105705,-0.140890002,Westminster City Council,W1S 3AP,"E1, Old Burlington Street/E1 Westminster City Council",15,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Park Lane,6398,51.5056114,-0.150780007,Westminster City Council,W1K 1RA,"E1, Park Lane/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Princes Street,6399,51.5144691,-0.142570004,Westminster City Council,W1B 2LU,"E1, Princes Street/E1 Westminster City Council",5,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  St George Street,6400,51.5129814,-0.143460006,Westminster City Council,W1S 1FH,"E1, St George Street/E1 Westminster City Council",10,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  St George Street,6401,51.5131302,-0.143319994,Westminster City Council,W1S 1FS,"E1, St George Street/E1 Westminster City Council",10,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  St James's Square,6402,51.50737,-0.136079997,Westminster City Council,SW1Y 4LH,"E1, St James's Square/E1 Westminster City Council",46,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  St James's Square,6403,51.5077095,-0.13515,Westminster City Council,SW1Y 4SJ,"E1, St James's Square/E1 Westminster City Council",31,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Stanhope Gate,6406,51.506691,-0.151539996,Westminster City Council,W1K 1AL,"E1, Stanhope Gate/E1 Westminster City Council",6,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Upper Brook Street,6407,51.5113487,-0.155550003,Westminster City Council,W1K 7PT,"E1, Upper Brook Street/E1 Westminster City Council",7,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Upper Grosvenor Street,6408,51.5102692,-0.155080006,Westminster City Council,W1K 7PL,"E1, Upper Grosvenor Street/E1 Westminster City Council",22,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Waterloo Place,6409,51.5067215,-0.132320002,Westminster City Council,SW1Y 5ER,"E1, Waterloo Place/E1 Westminster City Council",14,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
E1  Waterloo Place,6412,51.5067902,-0.131990001,Westminster City Council,SW1Y 4AN,"E1, Waterloo Place/E1 Westminster City Council",12,Car,18 February 2023,Monday to Friday 8:30am - 6:30pm,£0.94 (0.09),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Abercorn Place,6415,51.5321388,-0.181580007,Westminster City Council,NW8 9XR,"C1, Abercorn Place/C1 Westminster City Council",9,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Alma Square,6416,51.5317001,-0.180099994,Westminster City Council,NW8 9QD,"C1, Alma Square/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Carlton Hill,6418,51.5343819,-0.185980007,Westminster City Council,NW8 0ER,"C1, Carlton Hill/C1 Westminster City Council",6,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Carlton Hill,6419,51.5372505,-0.17915,Westminster City Council,NW8 0ED,"C1, Carlton Hill/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Clifton Hill,6420,51.5364799,-0.183599994,Westminster City Council,NW8 0AD,"C1, Clifton Hill/C1 Westminster City Council",6,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Clifton Hill,6421,51.5382004,-0.179299995,Westminster City Council,NW8 0NB,"C1, Clifton Hill/C1 Westminster City Council",6,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Grove End Road,6422,51.5328598,-0.176349998,Westminster City Council,NW8 9NP,"C1, Grove End Road/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Hamilton Terrace,6423,51.5312195,-0.182019994,Westminster City Council,NW8 9UP,"C1, Hamilton Terrace/C1 Westminster City Council",13,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Hamilton Terrace,6424,51.5331802,-0.184579998,Westminster City Council,NW8 9QR,"C1, Hamilton Terrace/C1 Westminster City Council",10,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Kingsmill Terrace,6425,51.5342903,-0.172859997,Westminster City Council,NW8 6AA,"C1, Kingsmill Terrace/C1 Westminster City Council",5,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Langford Place,6426,51.5346985,-0.177839994,Westminster City Council,NW8 0LP,"C1, Langford Place/C1 Westminster City Council",4,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Marlborough Place,6428,51.5358505,-0.17667,Westminster City Council,NW8 0NU,"C1, Marlborough Place/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
